Lemma	Semantisk?_kat_1	Kandid?ts	Semantisk?_kat_2	Paskaidrojums	Bie?ums	Tips	Grupa	Manu?la p?rbaude		Kop?	
iet	B?t proces?	g?jiens	Process	sakni p?rveido uz formu 'g?j-' un pievieno procesa sufiksu '-iens'	21110	T	I	F		Neder?gi deriv?ti	4
iet	B?t proces?	g?jums	Process	sakni p?rveido uz formu 'g?j-' un pievieno procesa sufiksu '-ums'	3246	T	I	F		Precizit?te	0,600
ir	B?t st?vokl?	b??ana	St?voklis	verbu celmam b?- pievieno sufiksu -?an- un galotni -a, ieg?stot lietv?rdu ar st?vok?a noz?mi	6933	T	I	T			
ir	B?t st?vokl?	esam?ba	St?voklis	verbu formu celmam esam- pievieno sufiksu -?ba, veidojot lietv?rdu, kas apz?m? past?v??anas st?vokli	11371	T	I	T		N	
ir	B?t st?vokl?	es?ba	St?voklis	sa?sin?tajam celmam es- pievieno sufiksu -?ba un reduc? starpska?u, veidojot ?s?ku st?vok?a lietv?rdu	3484	T	I	T		Der?gi deriv?ti	8
atklusin?t	Dar?t	atklusin?t?js	Instruments	no?emta infinit?va galotne -t un pievienots instrumenta sufikss -?js	0	F	J	T		Neder?gi deriv?ti	2
atklusin?t	Dar?t	atklusin?mais	Instruments	no?emta infinit?va galotne -t un pievienots instrumenta sufikss -amais	0	F	J	T		Precizit?te	0,800
sejauts	Priek?mets	sejautots	Ietver nosaukto	Nominat?va galotne -s tiek nomesta un pamatstemam sejaut- pievieno sufiksu -ots	0	F	J	T			
sejauts	Priek?mets	sejautains	Ietver nosaukto	Nominat?va galotne -s tiek nomesta un pamatstemam sejaut- pievieno sufiksu -ains	0	F	J	F			
telpiskot	B?t proces?	telpisko?ana	Process	infinit?va galotni -t aizst?j ar sufiksu -?ana, veidojot sievie?u dzimtes darb?bas procesu lietv?rdu	1	M	J	T			
telpiskot	B?t proces?	telpiskojums	Process	infinit?va galotni -t aizst?j ar sufiksu -jums, veidojot v?rie?u dzimtes procesu lietv?rdu	0	F	J	F			
sliecin?t	B?t st?vokl?	sliecin??ana	St?voklis	No?em galotni '-t' un pievieno sufiksu '-??ana'	0	F	J	T			
sliecin?t	B?t st?vokl?	sliecin?jums	St?voklis	No?em galotni '-t' un pievieno sufiksu '-?jums'	0	F	J	F			
aizst?jeklis	Abstrakts noj?gums	aizst?jeklisks	Saist?ts ar nosaukto	No?em galotni '-is' un pievieno ?pa??bas v?rda sufiksu '-isks'	0	F	J	T			
aizst?jeklis	Abstrakts noj?gums	aizst?jeklveid?gs	Saist?ts ar nosaukto	No?em galotni '-is' un pievieno sufiksu '-veid?gs', kas nor?da l?dz?bu vai pieder?bu nosauktajam	0	F	J	F			
t?rbst?t	Dar?t	t?rbst?tava	Vieta (lietv)	no darb?bas v?rda atmetam infinit?va galotni -?t un pievienojam vietas nosaukumu veidojo?o sufiksu -ava	0	F	N	T			
t?rbst?t	Dar?t	t?rbst?tuve	Vieta (lietv)	no darb?bas v?rda atmetam infinit?va galotni -?t un pievienojam vietas nosaukumu veidojo?o sufiksu -uve	0	F	N	T			
plakstule	Priek?mets	plakstulots	Ietver nosaukto	pie saknes 'plakstul-' pievienots sufikss -ots, veidojot ?pa??bas v?rdu ar noz?mi 'pilns ar plakstul?m'	0	F	N	T			
plakstule	Priek?mets	plakstulains	Ietver nosaukto	pie saknes 'plakstul-' pievienots sufikss -ains, veidojot ?pa??bas v?rdu ar noz?mi 'pilns ar plakstul?m'	0	F	N	T			
glim??t	B?t proces?	glim???ana	Process	infinit?va galotni -t aizst?j ar darb?bas lietv?rda sufiksu -?ana	0	F	N	T			
glim??t	B?t proces?	glim??jums	Process	stumbram pievieno starpsufiksu -?j- un procesa lietv?rda sufiksu -ums	0	F	N	F			
glim??t	B?t proces?	glim???an?s	Process	infinit?va -t aizst?j ar atgriezenisko formu -ties un procesa sufiksu -?an?s	0	F	N	D			
skurpel?gs	B?t st?vokl?	skurpel?gums	St?voklis	aizst?jam adjekt?va sufiksu -?gs ar lietv?rda sufiksu -?gums, ieg?stot st?vok?a nosaukumu	0	F	N	T			
skurpel?gs	B?t st?vokl?	skurpel?ba	St?voklis	no?emam sufiksu -?gs un pievienojam lietv?rda sufiksu -?ba, veidojot st?vok?a apz?m?jumu	0	F	N	F			
zvilgsme	Abstrakts noj?gums	zvilgsmisks	Saist?ts ar nosaukto	Nom. galotni -e nolai? un pie saknes zvilgsm- pievieno sufiksu -isks, ieg?stot ?pa??bas v?rdu ‘saist?ts ar zvilgsmi’	0	F	N	T			
zvilgsme	Abstrakts noj?gums	zvilgsm?gs	Saist?ts ar nosaukto	Nom. galotni -e aizst?j ar sufiksu -?gs, veidojot ?pa??bas v?rdu ‘saist?ts ar zvilgsmi’	0	F	N	T			
