Lemma	Semantiskâ_kat_1	Kandidâts	Semantiskâ_kat_2	Paskaidrojums	Bieþums	Tips	Grupa	Manuâla pârbaude		Kopâ	
sliecinât	Bût stâvoklî	slieciens	Stâvoklis	Lietvârds izveidots no darbîbas vârda 'sliecinât' celma 'sliecin' + lietvârda piedçklis '-ien' + lietvârda galotne '-s'.	0	F	J	F			
sliecinât	Bût stâvoklî	sliecinâjums	Stâvoklis	Lietvârds izveidots no darbîbas vârda 'sliecinât' celma 'sliecin' + sufikss '-âj' + lietvârda piedçklis '-um' + lietvârda galotne '-s'.	0	F	J	F			
sliecinât	Bût stâvoklî	sliecinâtîba	Stâvoklis	Lietvârds izveidots no darbîbas vârda 'sliecinât' cieðamâs kârtas pagâtnes divdabja 'sliecinâts' + sufikss '-îb' + lietvârda galotne '-a'.	0	F	J	T			
aizstâjeklis	Abstrakts nojçgums	aizstâjeklisks	Saistîts ar nosaukto	Atvasinâjums iegûts ar izskaòu -isks, kas veido îpaðîbas vârdu no lietvârda 'aizstâjeklis'.	0	F	J	T			
aizstâjeklis	Abstrakts nojçgums	aizstâjeklîgs	Saistîts ar nosaukto	Atvasinâjums iegûts ar izskaòu -îgs, kas veido îpaðîbas vârdu no lietvârda 'aizstâjeklis'.	0	F	J	T			
aizstâjeklis	Abstrakts nojçgums	aizstâjeklveidîgs	Saistîts ar nosaukto	Atvasinâjums veidots ar salikteòa otro daïu -veidîgs, kas saistâs ar lietvârda 'aizstâjeklis' celmu.	0	F	J	F			
tçrbstît	Darît	tçrbstîtava	Vieta (lietv)	darbîbas vârdam 'tçrbstît' pievienots izskaòa '-ava', lai veidotu vietu, kur notiek tçrbstîðana	0	F	N	T			
tçrbstît	Darît	tçrbstîkla	Vieta (lietv)	darbîbas vârdam 'tçrbstît' pievienota izskaòa '-kla', lai apzîmçtu vietu, kur notiek tçrbstîðana	0	F	N	F			
tçrbstît	Darît	tçrbstuks	Vieta (lietv)	darbîbas vârda 'tçrbstît' sakne 'tçrbst-' + izskaòa '-uks', lai apzîmçtu tçrbstîðanas vietu	0	F	N	F			
tçrbstît	Darît	tçrbstuve	Vieta (lietv)	darbîbas vârda 'tçrbstît' sakne + izskaòa '-uve', kas norâda uz darbîbas vietu	0	F	N	T			
plakstule	Priekðmets	plakstulene	Ietver nosaukto	vârdam ar semantisko ietilpîbas kategoriju pievienojam izskaòu -ene	0	F	N	F			
plakstule	Priekðmets	plakstulîte	Ietver nosaukto	vârdam ar semantisko ietilpîbas kategoriju pievienojam izskaòu -îte	0	F	N	F			
glimþçt	Bût procesâ	glimðana	Process	Nepiecieðams substantivizçt (pârvçrst lietvârdâ) darbîbas vârdu, izmantojot piedçkli -ðan- un galotni -a.	0	F	N	F			
glimþçt	Bût procesâ	glimzçðana	Process	No verba glimþçt atvasinâm lietvârdu, aizvietojot verba galotni ar piedçkli -ðan- un galotni -a, þ pârvçrðot par z.	0	F	N	F			
glimþçt	Bût procesâ	glimþçðana	Process	Lietvârda darinâðana no verba ar piedçkli -ðan- un galotni -a, saglabâjot verba sakni glimþ-.	0	F	N	T			
skurpelîgs	Bût stâvoklî	skurpelîba	Stâvoklis	piedçklis -îg- tiek aizstâts ar piedçkli -îb-	0	F	N	F			
skurpelîgs	Bût stâvoklî	skurpelîgums	Stâvoklis	pie celma skurpelîg- tiek pievienots piedçklis -um-	0	F	N	T			
zvilgsme	Abstrakts nojçgums	zvilgsmîgs	Saistîts ar nosaukto	Lietvârdam 'zvilgsme' ir jâpievieno piedçklis '-îg-' un galotne '-s'.	0	F	N	T			
zvilgsme	Abstrakts nojçgums	zvilgsmisks	Saistîts ar nosaukto	Lietvârdam 'zvilgsme' ir jâpievieno piedçklis '-isk-' un galotne '-s'.	0	F	N	T			
zvilgsme	Abstrakts nojçgums	zvilgsmains	Saistîts ar nosaukto	Lietvârdam 'zvilgsme' ir jâpievieno piedçklis '-ain-' un galotne '-s'.	0	F	N	T			
